Fecha,TC_Oficial_BCRP,RIN_Reservas
2016-07-04,3.28657142857143,59630.63928599
2016-07-05,3.28842857142857,59767.96841016
2016-07-06,3.28171428571429,59790.02226636
2016-07-07,3.28457142857143,60075.2987129
2016-07-08,3.279,60285.69923985
2016-07-11,3.28071428571429,60156.5081085
2016-07-12,3.28128571428571,60063.73699902
2016-07-13,3.282,60114.97695697
2016-07-14,3.27957142857143,60282.64052605
2016-07-15,3.27928571428571,60650.14937935
2016-07-18,3.28042857142857,60578.02501757
2016-07-19,3.29557142857143,60925.54599481
2016-07-20,3.31214285714286,61153.86235437
2016-07-21,3.32385714285714,61397.90846935
2016-07-22,3.32842857142857,61437.09806165
2016-07-25,3.34685714285714,61352.70986363
2016-07-26,3.36328571428571,61295.66978698
2016-07-27,3.358,61085.8431175
2016-08-01,3.34885714285714,61019.65381179
2016-08-02,3.34614285714286,61251.94988247
2016-08-03,3.35471428571429,61301.44940037
2016-08-04,3.34014285714286,61357.90072227
2016-08-05,3.33685714285714,61419.62536639
2016-08-08,3.31942857142857,61375.92753743
2016-08-09,3.30442857142857,61336.94014782
2016-08-10,3.30828571428571,61295.76533583
2016-08-11,3.30857142857143,61428.65866772
2016-08-12,3.31614285714286,61630.53938433
2016-08-15,3.31128571428571,61543.78146886
2016-08-16,3.30928571428571,61573.03071013
2016-08-17,3.31871428571429,61806.2205875
2016-08-18,3.30614285714286,61936.23007411
2016-08-19,3.32171428571429,61965.03580004
2016-08-22,3.34314285714286,61933.48082876
2016-08-23,3.35857142857143,61851.33076015
2016-08-24,3.35571428571429,61924.6773623
2016-08-25,3.352,61819.62988129
2016-08-26,3.34728571428571,61823.96123433
2016-08-29,3.375,61727.72265868
2016-08-31,3.39557142857143,61768.57319019
,3.39857142857143,62089.75908235
,3.38885714285714,62193.27646991
,3.39785714285714,62196.60184406
,3.37585714285714,62162.11081794
,3.36228571428571,62112.91026501
,3.37114285714286,62213.5785464
,3.38971428571429,62092.64515979
,3.40357142857143,62150.13499356
,3.41385714285714,61975.0709675
,3.39857142857143,62003.1580444
,3.38771428571429,62036.47594736
,3.39714285714286,62041.52164003
,3.39242857142857,61856.54442426
,3.38885714285714,61700.15249399
,3.38042857142857,61847.55479613
,3.35357142857143,61802.87566465
,3.35685714285714,61926.17249448
,3.36371428571429,61804.07668437
,3.36942857142857,61771.86947204
,3.37628571428571,61650.02121533
,3.38814285714286,61620.40011642
,3.398,61574.94989707
2016-10-03,3.39057142857143,61517.98387657
2016-10-04,3.39985714285714,61458.85310183
2016-10-05,3.40571428571429,61570.10327053
2016-10-06,3.41114285714286,61633.57340883
2016-10-07,3.40842857142857,61721.60442435
2016-10-10,3.39757142857143,61724.47039151
2016-10-11,3.40042857142857,61571.2514227
2016-10-12,3.40742857142857,61511.72396861
2016-10-13,3.40928571428571,61565.22119241
2016-10-14,3.40242857142857,61592.9280036
2016-10-17,3.39942857142857,61536.39156882
2016-10-18,3.38714285714286,61713.86316422
2016-10-19,3.38242857142857,61778.30519616
2016-10-20,3.38328571428571,61713.71245033
2016-10-21,3.36914285714286,61799.68476216
2016-10-24,3.35342857142857,61598.95567035
2016-10-25,3.35914285714286,61525.76725578
2016-10-26,3.36642857142857,61814.41395729
2016-10-27,3.373,61804.37393263
2016-10-28,3.363,62112.53280663
2016-10-31,3.36457142857143,62008.85471002
2016-11-02,3.38214285714286,62162.62895422
2016-11-03,3.37942857142857,62208.84481778
2016-11-04,3.38457142857143,62272.04850058
2016-11-07,3.37428571428571,62102.75759019
2016-11-08,3.361,62118.19925701
2016-11-09,3.38085714285714,62099.05209692
2016-11-10,3.40485714285714,62064.73920642
2016-11-11,3.41257142857143,62045.52657605
2016-11-14,3.42428571428571,61890.33061051
2016-11-15,3.42542857142857,61546.5019772
